COA,AmpRepStateHydroMean,AmpRepCOAHydroMean,AmpRepCOAHydroMin,AmpRepCOAHydroMax,AmpRepCOAHydroPerDiff,ColdWaterStateHydroMean,ColdWaterCOAHydroMean,ColdWaterCOAHydroMin,ColdWaterCOAHydroMax,ColdWaterCOAHydroPerDif,EphCatStateHydroMean,EphCatCOAHydroMean,EphCatCOAHydroMin,EphCatCOAHydroMax,EphCatCOAHydroPerDif,PerStrStateHydroMean,PerStrCOAHydroMean,PerStrCOAHydroMin,PerStrCOAHydroMax,PerStrCOAHydroPerDif,SpringsStateHydroMean,SpringsCOAHydroMean,SpringsCOAHydroMin,SpringsCOAHydroMax,SpringsCOAHydroPerDif,AmpRepStateMacroMean,AmpRepCOAMacroMean,AmpRepCOAMacroMin,AmpRepCOAMacroMax,AmpRepCOAMacroPerDiff,ColdWaterStateMacroMean,ColdWaterCOAMacroMean,ColdWaterCOAMacroMin,ColdWaterCOAMacroMax,ColdWaterCOAMacroPerDif,EphCatStateMacroMean,EphCatCOAMacroMean,EphCatCOAMacroMin,EphCatCOAMacroMax,EphCatCOAMacroPerDif,PerStrStateMacroMean,PerStrCOAMacroMean,PerStrCOAMacroMin,PerStrCOAMacroMax,PerStrCOAMacroPerDif,SpringsStateMacroMean,SpringsCOAMacroMean,SpringsCOAMacroMin,SpringsCOAMacroMax,SpringsCOAMacroPerDif
Apache Box,0.199239287,0.13718,0.008785,0.154267,-45.23931148,0.178099369,,,,,0.362766855,0.272497,0.021236,0.288689,-33.12691689,0.25684808,0.108446,0.004949,0.160023,-136.8442175,0.359638971,0.263606,0.012219,0.353621,-36.4304952,0.381946269,0.531021,0.029622,0.709581,28.07322703,0.652818348,,,,,0.370714215,0.453646,0.023828,0.469711,18.28116737,0.471525413,0.512171,0.028736,0.837553,7.935940773,0.486584642,0.528998,0.029525,1,8.017678291
Big Hatchet Mountains,0.199239287,0.149908,0.127799,0.153388,-32.90770839,0.178099369,,,,,0.362766855,0.343476,0.316463,0.357193,-5.616361758,0.25684808,,,,,0.359638971,0.213266,0.156268,0.231113,-68.63399284,0.381946269,0.25397,0.253305,0.262343,-50.39030952,0.652818348,,,,,0.370714215,0.336022,0.329561,0.339991,-10.32438813,0.471525413,,,,,0.486584642,0.382453,0.382453,0.382453,-27.22730432
Black Range Mountains,0.199239287,0.185921,0.001926,0.288271,-7.163412142,0.178099369,0.095072,0.001019,0.221624,-87.33104289,0.362766855,0.222471,0.003046,0.319336,-63.06253611,0.25684808,0.188041,0.002218,0.269537,-36.59153063,0.359638971,0.481292,0.004089,0.700791,25.27634551,0.381946269,0.348745,0.003709,0.568572,-9.520213646,0.652818348,0.590848,0.006944,0.705889,-10.48837406,0.370714215,0.426291,0.004815,0.519143,13.0372878,0.471525413,0.319456,0.003235,0.677195,-47.60261594,0.486584642,0.375426,0.003837,0.804277,-29.60866914
Bootheel,0.199239287,0.145274,0.049516,0.216783,-37.14724417,0.178099369,,,,,0.362766855,0.335738,0.205773,0.415434,-8.050579533,0.25684808,0.113068,0.097066,0.120143,-127.1624864,0.359638971,0.188734,0.114927,0.323471,-90.55335614,0.381946269,0.38579,0.266993,0.470549,0.996327256,0.652818348,,,,,0.370714215,0.3926,0.348902,0.431292,5.574575781,0.471525413,0.408105,0.396658,0.453391,-15.5402195,0.486584642,0.44468,0.382453,0.59911,-9.423550013
Conchas Reservoir,0.199239287,0.209158,0.156873,0.316723,4.74221044,0.178099369,,,,,0.362766855,0.407775,0.343711,0.426552,11.03749501,0.25684808,0.127361,0.069411,0.137253,-101.6693337,0.359638971,0.246946,0.189916,0.290311,-45.6346615,0.381946269,0.29453,0.139996,0.379983,-29.67992024,0.652818348,,,,,0.370714215,0.334974,0.328109,0.358741,-10.66954912,0.471525413,0.442119,0.318639,0.485471,-6.651243846,0.486584642,0.51559,0.440979,0.584239,5.625663377
Eagle Nest Lake,0.199239287,0.480009,0.291425,0.512884,58.49259337,0.178099369,0.434258,0.176425,0.473325,58.98765962,0.362766855,0.261664,0.176551,0.278444,-38.63842742,0.25684808,0.443156,0.440589,0.446732,42.0411593,0.359638971,0.407279,0.386559,0.523848,11.69714835,0.381946269,0.338689,0.252794,0.372887,-12.77197343,0.652818348,0.566158,0.547508,0.633274,-15.3067427,0.370714215,0.607965,0.547989,0.640145,39.02375704,0.471525413,0.583754,0.549364,0.597567,19.22532218,0.486584642,0.717593,0.717593,0.717593,32.19211417
Guadalupe Mountains,0.199239287,0.185622,0.142296,0.216395,-7.336031014,0.178099369,0.113099,0.013395,0.136329,-57.47209887,0.362766855,0.291262,0.198756,0.345905,-24.55001157,0.25684808,0.244267,0.232894,0.258377,-5.150544326,0.359638971,0.572914,0.41492,0.708348,37.22636012,0.381946269,0.152507,0.062862,0.18115,-150.445074,0.652818348,0.342979,0.330551,0.354428,-90.33770241,0.370714215,0.037839,0,0.170832,-879.7146211,0.471525413,0.122218,0.007786,0.136738,-285.8068474,0.486584642,0.402621,0.386817,0.403924,-20.85426299
Jemez Mountains,0.199239287,0.332068,0.09078,0.745303,40.00045548,0.178099369,0.298167,0.096481,0.740672,40.26858469,0.362766855,0.257288,0.145063,0.316492,-40.99641441,0.25684808,0.461443,0.204882,0.581516,44.3380699,0.359638971,0.643704,0.376346,0.927451,44.12975977,0.381946269,0.44731,0.252587,0.61233,14.61262456,0.652818348,0.585692,0.292567,0.711581,-11.46103214,0.370714215,0.39101,0.174468,0.528004,5.190604975,0.471525413,0.505985,0.310159,0.705737,6.810396992,0.486584642,0.590885,0.247182,0.677049,17.65154942
Lower Gila River,0.199239287,0.154719,0.002963,0.193011,-28.77493229,0.178099369,0.057141,0.001143,0.085852,-211.6840257,0.362766855,0.310364,0.002993,0.431464,-16.88432122,0.25684808,0.098485,0.001865,0.152161,-160.7991878,0.359638971,0.273863,0.003961,0.405497,-31.32075935,0.381946269,0.491263,0.007815,0.532172,22.25218079,0.652818348,0.600979,0.010461,0.73439,-8.625816932,0.370714215,0.406146,0.006885,0.46894,8.723903354,0.471525413,0.492503,0.007662,0.606765,4.259382627,0.486584642,0.518204,0.007867,0.72539,6.101720134
Lower Pecos and Black Rivers,0.199239287,0.265764,0.145631,1,25.03149882,0.178099369,,,,,0.362766855,0.410055,0.308907,0.469299,11.53214698,0.25684808,0.203166,0.079293,0.218083,-26.42276764,0.359638971,0.399342,0.198382,0.52491,9.942111979,0.381946269,0.163422,0.136764,0.375618,-133.7177792,0.652818348,,,,,0.370714215,0.270559,0.244271,0.31661,-37.01788352,0.471525413,0.145636,0.061754,0.437898,-223.7698184,0.486584642,0.400545,0.228591,0.484317,-21.48064317
Lower Rio Grande,0.199239287,0.181174,0.148348,0.196791,-9.971236208,0.178099369,,,,,0.362766855,0.386797,0.300365,0.448697,6.212598673,0.25684808,0.234501,0.234306,0.234659,-9.52963105,0.359638971,0.425743,0.414554,0.469093,15.52674473,0.381946269,0.212376,0.208296,0.218946,-79.84436522,0.652818348,,,,,0.370714215,0.237713,0.21013,0.316774,-55.95033317,0.471525413,0.128294,0.126683,0.130275,-267.5350467,0.486584642,0.267128,0.267128,0.267128,-82.15411421
Lower Rio Grande - Caballo Reservoir,0.199239287,0.207375,0.01035,0.259939,3.923188673,0.178099369,,,,,0.362766855,0.377396,0.018252,0.441995,3.876338193,0.25684808,0.177934,0.011363,0.234486,-44.35019733,0.359638971,0.427834,0.029607,0.525025,15.93960013,0.381946269,0.239925,0.017286,0.291846,-59.19402692,0.652818348,,,,,0.370714215,0.331648,0.023957,0.414411,-11.7794214,0.471525413,0.162369,0.010735,0.187278,-190.4035948,0.486584642,0.219653,0.013071,0.267128,-121.5242415
Lower San Juan River,0.199239287,0.204563,0.157364,0.241052,2.60248066,0.178099369,0.120857,0.07896,0.150714,-47.36371836,0.362766855,0.393283,0.327947,0.456131,7.759334954,0.25684808,0.066252,0.033194,0.093896,-287.6835116,0.359638971,0.209042,0.137874,0.256646,-72.04148983,0.381946269,0.408775,0.344973,0.588168,6.563202476,0.652818348,0.325389,0.296369,0.360747,-100.627049,0.370714215,0.290645,0.231326,0.403264,-27.54880197,0.471525413,0.221765,0,0.509004,-112.6239094,0.486584642,0.169089,0,0.527917,-187.76836
Middle Pecos River,0.199239287,0.279156,0.111897,0.445201,28.62797594,0.178099369,,,,,0.362766855,0.429826,0.234983,0.524857,15.60146322,0.25684808,0.139026,0.090883,0.254126,-84.74823422,0.359638971,0.315217,0.242784,0.719115,-14.0925049,0.381946269,0.274713,0.190602,0.370663,-39.03465401,0.652818348,,,,,0.370714215,0.321625,0.285522,0.356073,-15.26287306,0.471525413,0.325582,0.204646,0.56194,-44.82539354,0.486584642,0.456089,0.37751,0.711966,-6.686335824
Middle Rio Grande,0.199239287,0.259716,0.036056,0.438102,23.2857092,0.178099369,,,,,0.362766855,0.416055,0.065,0.65417,12.80795695,0.25684808,0.212862,0.02885,0.241415,-20.66412986,0.359638971,0.394956,0.074245,0.499189,8.942016027,0.381946269,0.305254,0.039478,0.489871,-25.12408325,0.652818348,,,,,0.370714215,0.312349,0.056629,0.429636,-18.68589798,0.471525413,0.314441,0.028364,0.535354,-49.95672091,0.486584642,0.358291,0.036798,0.514343,-35.80710713
Mimbres River,0.199239287,0.137299,0.005419,0.190643,-45.11342944,0.178099369,0.059828,0.002426,0.100865,-197.6856474,0.362766855,0.218495,0.005176,0.35792,-66.02981977,0.25684808,0.145564,0.006022,0.219506,-76.45027624,0.359638971,0.305153,0.011916,0.406757,-17.85529593,0.381946269,0.286258,0.009587,0.37535,-33.42728206,0.652818348,0.424533,0.016595,0.687181,-53.77328696,0.370714215,0.352829,0.012104,0.494676,-5.069088846,0.471525413,0.20723,0.008409,0.320153,-127.5372353,0.486584642,0.296861,0.01004,0.383543,-63.90992491
Northern Sacramento and Capitan Mountains,0.199239287,0.248648,0.152774,0.300451,19.87094709,0.178099369,0.161437,0.025215,0.197241,-10.32128267,0.362766855,0.290557,0.218712,0.36725,-24.85221651,0.25684808,0.302456,0.279579,0.32001,15.07919165,0.359638971,0.690863,0.551736,0.835553,47.9435183,0.381946269,0.349328,0.200775,0.39904,-9.337433323,0.652818348,0.736964,0.682509,0.804418,11.41787817,0.370714215,0.406598,0.320852,0.443967,8.825371624,0.471525413,0.519724,0.17918,0.565836,9.273881371,0.486584642,0.6336,0.331817,0.711966,23.20318147
Organ Mountains,0.199239287,0.191731,0.143334,0.248548,-3.916052954,0.178099369,0.103894,0.103894,0.103894,-71.4241141,0.362766855,0.359101,0.326474,0.516198,-1.020842245,0.25684808,0.253485,0.230633,0.254421,-1.326737325,0.359638971,0.581281,0.270118,0.731926,38.12992835,0.381946269,0.199572,0.138274,0.237476,-91.3826935,0.652818348,0.501396,0.501396,0.501396,-30.20015085,0.370714215,0.166622,0.095411,0.232844,-122.4881561,0.471525413,0.186099,0.123048,0.188563,-153.3734264,0.486584642,0.307549,0.153977,0.331817,-58.21369674
